group	n	rtq_positive	csf_tau	csf_nfl	csf_bsyn	csf_prp	plasma_nfl	plasma_gfap	moca	mrc
mutation-negative control	 57	0/51	164±49 (75-318)	573±208 (242-1018)	516±144 (243-952)	71±24 (27-120)	9.7±4.6 (5.4-28.2)	145.9±150.1 (30.6-751.1)	28±3 (14-30)	20±0 (17-20)
non-converting mutation carrier	112	0/88	149±65 (56-318)	685±404 (192-2677)	472±201 (124-1171)	45±24 (10-126)	11.1±6.6 (5.4-41.4)	112.8±53.3 (22.3-267.5)	28±2 (22-30)	20±0 (19-20)
